country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7,income_spell_8
Albania,1996,411815.3,,,,,,,,,,,,,,,
Albania,2002,,430654.03,,,,,,,,,,,,,,
Albania,2005,,549468.1,,,,,,,,,,,,,,
Albania,2008,,428751.8,,,,,,,,,,,,,,
Albania,2012,,490908.6,,,,,,,,,,,,,,
Albania,2014,,,877493.6,,,,,,,,,,,,,
Albania,2015,,,806095.06,,,,,,,,,,,,,
Albania,2016,,,965939.0,,,,,,,,,,1430039,,,
Albania,2017,,,872003.5,,,,,,,,,,1487281,,,
Albania,2018,,,,1040234,,,,,,,,,1414392,,,
Albania,2019,,,,717569,,,,,,,,,,,,
Albania,2020,,,,846465,,,,,,,,,,,,
Algeria,1988,4898575.0,,,,,,,,,,,,,,,
Algeria,1995,,6320042.5,,,,,,,,,,,,,,
Algeria,2011,,,4991727.5,,,,,,,,,,,,,
Angola,2000,6648672.0,,,,,,,,,,,,,,,
Angola,2008,,5432708.0,,,,,,,,,,,,,,
Angola,2018,,,8113582.0,,,,,,,,,,,,,
Argentina (urban),1980,,,,,,,,,33618520.0,,,,,,,
Argentina (urban),1986,,,,,,,,,36973550.0,,,,,,,
Argentina (urban),1987,,,,,,,,,37001144.0,,,,,,,
Argentina (urban),1991,,,,,,,,,23391240.0,,,,,,,
Argentina (urban),1992,,,,,,,,,,28214754,,,,,,
Argentina (urban),1993,,,,,,,,,,31330496,,,,,,
Argentina (urban),1994,,,,,,,,,,30858533,,,,,,
Argentina (urban),1995,,,,,,,,,,33423282,,,,,,
Argentina (urban),1996,,,,,,,,,,34033260,,,,,,
Argentina (urban),1997,,,,,,,,,,38199030,,,,,,
Argentina (urban),1998,,,,,,,,,,,34618240.0,,,,,
Argentina (urban),1999,,,,,,,,,,,35557516.0,,,,,
Argentina (urban),2000,,,,,,,,,,,36646470.0,,,,,
Argentina (urban),2001,,,,,,,,,,,37407224.0,,,,,
Argentina (urban),2002,,,,,,,,,,,25150032.0,,,,,
Argentina (urban),2003,,,,,,,,,,,,33478797,,,,
Argentina (urban),2004,,,,,,,,,,,,38801842,,,,
Argentina (urban),2005,,,,,,,,,,,,41845810,,,,
Argentina (urban),2006,,,,,,,,,,,,47368610,,,,
Argentina (urban),2007,,,,,,,,,,,,48523759,,,,
Argentina (urban),2008,,,,,,,,,,,,49695934,,,,
Argentina (urban),2009,,,,,,,,,,,,53938769,,,,
Argentina (urban),2010,,,,,,,,,,,,52934407,,,,
Argentina (urban),2011,,,,,,,,,,,,53666096,,,,
Argentina (urban),2012,,,,,,,,,,,,53579490,,,,
Argentina (urban),2013,,,,,,,,,,,,55196761,,,,
Argentina (urban),2014,,,,,,,,,,,,48927736,,,,
Argentina (urban),2016,,,,,,,,,,,,54248956,,,,
Argentina (urban),2017,,,,,,,,,,,,55320218,,,,
Argentina (urban),2018,,,,,,,,,,,,52737496,,,,
Argentina (urban),2019,,,,,,,,,,,,53081639,,,,
Argentina (urban),2020,,,,,,,,,,,,46178244,,,,
Argentina (urban),2021,,,,,,,,,,,,44829061,,,,
Argentina (urban),2022,,,,,,,,,,,,39610852,,,,
Argentina (urban),2023,,,,,,,,,,,,43265542,,,,
Argentina (urban),2024,,,,,,,,,,,,43319611,,,,
Armenia,1996,,,,,,,,,725135.8,,,,,,,
Armenia,1999,,326179.28,,,,,,,,,,,,,,
Armenia,2001,,301002.28,,,,,,,,,,,,,,
Armenia,2002,,268480.44,,,,,,,,,,,,,,
Armenia,2003,,218714.56,,,,,,,,,,,,,,
Armenia,2004,,352207.34,,,,,,,,,,,,,,
Armenia,2005,,331659.94,,,,,,,,,,,,,,
Armenia,2006,,357664.3,,,,,,,,,,,,,,
Armenia,2007,,459792.7,,,,,,,,,,,,,,
Armenia,2008,,357148.0,,,,,,,,,,,,,,
Armenia,2009,,287074.1,,,,,,,,,,,,,,
Armenia,2010,,280554.22,,,,,,,,,,,,,,
Armenia,2011,,342578.56,,,,,,,,,,,,,,
Armenia,2012,,356185.06,,,,,,,,,,,,,,
Armenia,2013,,445117.22,,,,,,,,,,,,,,
Armenia,2014,,474451.38,,,,,,,,,,,,,,
Armenia,2015,,526393.44,,,,,,,,,,,,,,
Armenia,2016,,742147.25,,,,,,,,,,,,,,
Armenia,2017,,401775.34,,,,,,,,,,,,,,
Armenia,2018,,459003.0,,,,,,,,,,,,,,
Armenia,2019,,,384966.38,,,,,,,,,,,,,
Armenia,2020,,,239870.47,,,,,,,,,,,,,
Armenia,2021,,,339232.8,,,,,,,,,,,,,
Armenia,2022,,,373220.1,,,,,,,,,,,,,
Armenia,2023,,,333567.78,,,,,,,,,,,,,
Australia,1981,,,,,,,,,15856439.0,,,,,,,
Australia,1985,,,,,,,,,,17141187,,,,,,
Australia,1989,,,,,,,,,,,20134070.0,,,,,
Australia,1995,,,,,,,,,,,,17755760,,,,
Australia,2001,,,,,,,,,,,,21996787,,,,
Australia,2003,,,,,,,,,,,,23700553,,,,
Australia,2004,,,,,,,,,,,,22945038,,,,
Australia,2008,,,,,,,,,,,,31689129,,,,
Australia,2010,,,,,,,,,,,,34806765,,,,
Australia,2014,,,,,,,,,,,,36969269,,,,
Australia,2016,,,,,,,,,,,,40275285,,,,
Australia,2018,,,,,,,,,,,,46071727,,,,
Australia,2020,,,,,,,,,,,,50852489,,,,
Austria,1994,,,,,,,,,,11127342,,,,,,
Austria,1995,,,,,,,,,,11011376,,,,,,
Austria,1996,,,,,,,,,,9305646,,,,,,
Austria,1997,,,,,,,,,,10233955,,,,,,
Austria,1998,,,,,,,,,,10019608,,,,,,
Austria,1999,,,,,,,,,,9335058,,,,,,
Austria,2000,,,,,,,,,,9488611,,,,,,
Austria,2003,,,,,,,,,,,10976435.0,,,,,
Austria,2004,,,,,,,,,,,10772659.0,,,,,
Austria,2005,,,,,,,,,,,10250079.0,,,,,
Austria,2006,,,,,,,,,,,10418980.0,,,,,
Austria,2007,,,,,,,,,,,14059434.0,,,,,
Austria,2008,,,,,,,,,,,15367637.0,,,,,
Austria,2009,,,,,,,,,,,16970818.0,,,,,
Austria,2010,,,,,,,,,,,15433964.0,,,,,
Austria,2011,,,,,,,,,,,15871716.0,,,,,
Austria,2012,,,,,,,,,,,16482716.0,,,,,
Austria,2013,,,,,,,,,,,14406261.0,,,,,
Austria,2014,,,,,,,,,,,15653484.0,,,,,
Austria,2015,,,,,,,,,,,17566228.0,,,,,
Austria,2016,,,,,,,,,,,19054600.0,,,,,
Austria,2017,,,,,,,,,,,17925030.0,,,,,
Austria,2018,,,,,,,,,,,17689612.0,,,,,
Austria,2019,,,,,,,,,,,18394392.0,,,,,
Austria,2020,,,,,,,,,,,19919312.0,,,,,
Austria,2021,,,,,,,,,,,20638196.0,,,,,
Austria,2022,,,,,,,,,,,21425352.0,,,,,
Austria,2023,,,,,,,,,,,20968024.0,,,,,
Azerbaijan,1995,1276159.9,,,,,,,,,,,,,,,
